u_id,act_strt_dt,brth_estb_yr,gnd_cd,mar_st_cd,ocp_cd,idv_incm_seg_cd,fam_incm_seg_cd,prim_seg_cd,prim_sub_seg_cd,ed_lvl_cd
cst_id051084,2011-09-02 00:00:00,1945.0,2.0,1.0,5.0,1.0,1.0,SM,01,04
cst_id053589,2010-12-13 00:00:00,1958.0,1.0,2.0,2.0,7.0,3.0,MI,K1,04
cst_id051358,2010-06-30 00:00:00,1971.0,1.0,1.0,9.0,,1.0,MI,N4,
cst_id031719,2005-12-02 00:00:00,1985.0,2.0,1.0,4.0,9.0,7.0,XS,01,02
cst_id041274,2008-05-16 00:00:00,1985.0,1.0,2.0,3.0,4.0,4.0,MI,N4,02
cst_id022573,2003-05-17 00:00:00,1967.0,2.0,1.0,3.0,1.0,6.0,MI,M3,04
cst_id050444,2010-05-01 00:00:00,1992.0,2.0,1.0,9.0,4.0,4.0,MI,L2,04
cst_id055560,2011-05-08 00:00:00,1994.0,1.0,1.0,6.0,,2.0,TC,O1,04
cst_id007749,1986-12-01 00:00:00,1935.0,2.0,2.0,3.0,2.0,4.0,MI,K1,01
cst_id040422,2008-03-11 00:00:00,1990.0,2.0,1.0,7.0,6.0,,MI,L1,04
cst_id058895,2012-02-05 00:00:00,1964.0,2.0,2.0,4.0,4.0,,PC,B1,04
cst_id053861,2010-12-29 00:00:00,1952.0,1.0,2.0,4.0,7.0,5.0,MI,J2,03
cst_id014093,1996-02-09 00:00:00,1964.0,2.0,1.0,3.0,2.0,7.0,MI,N4,04
cst_id060933,2012-07-06 00:00:00,1982.0,2.0,2.0,3.0,6.0,5.0,MI,K1,04
cst_id007153,1993-12-30 00:00:00,1934.0,1.0,2.0,4.0,7.0,3.0,MI,M1,03
cst_id025566,2003-12-03 00:00:00,1961.0,2.0,2.0,5.0,1.0,6.0,MI,G4,05
cst_id051270,2010-06-24 00:00:00,1985.0,2.0,1.0,3.0,4.0,5.0,MI,M3,04
cst_id020771,2003-01-06 00:00:00,1976.0,2.0,2.0,3.0,6.0,5.0,MI,F1,04
cst_id014006,1999-07-02 00:00:00,1976.0,1.0,2.0,9.0,1.0,,MI,K1,05
cst_id052513,2010-09-23 00:00:00,1975.0,2.0,2.0,4.0,1.0,1.0,MI,K3,04
cst_id009824,1993-02-05 00:00:00,1964.0,2.0,1.0,3.0,4.0,2.0,MI,M3,03
cst_id022559,2003-05-17 00:00:00,1961.0,1.0,2.0,3.0,7.0,5.0,MI,K1,04
cst_id005448,1986-03-14 00:00:00,1951.0,2.0,4.0,5.0,9.0,7.0,SM,01,04
cst_id029212,2005-02-03 00:00:00,1963.0,2.0,2.0,1.0,6.0,6.0,TC,O5,05
cst_id011785,1999-06-10 00:00:00,1964.0,2.0,1.0,9.0,7.0,5.0,MI,K1,04
cst_id047105,2009-08-20 00:00:00,1970.0,1.0,2.0,1.0,8.0,7.0,PC,C7,05
cst_id032291,2006-02-09 00:00:00,1969.0,1.0,1.0,3.0,8.0,7.0,PC,B7,04
cst_id009867,1999-02-02 00:00:00,1956.0,2.0,1.0,4.0,1.0,7.0,XS,01,02
cst_id000436,1999-08-16 00:00:00,1960.0,2.0,,4.0,5.0,3.0,MI,K3,01
cst_id055232,2011-04-17 00:00:00,1989.0,1.0,1.0,9.0,6.0,3.0,MI,M3,03
cst_id004528,2001-02-26 00:00:00,1970.0,2.0,1.0,4.0,14.0,,SM,01,04
cst_id037890,2007-07-21 00:00:00,1960.0,2.0,2.0,13.0,5.0,3.0,XS,01,01
cst_id032153,2006-01-26 00:00:00,1972.0,1.0,1.0,7.0,9.0,,MI,G2,02
cst_id014311,1991-01-01 00:00:00,1972.0,2.0,2.0,3.0,9.0,,MI,I3,05
cst_id044169,2008-12-30 00:00:00,1968.0,2.0,1.0,9.0,6.0,5.0,MI,K1,04
cst_id023768,2003-06-03 00:00:00,1984.0,1.0,1.0,9.0,5.0,3.0,MI,L2,04
cst_id072785,2015-10-21 00:00:00,1965.0,2.0,1.0,3.0,4.0,3.0,MI,L2,03
cst_id073582,2016-02-11 00:00:00,1983.0,2.0,2.0,5.0,2.0,2.0,MI,K2,01
cst_id036656,2007-03-31 00:00:00,1978.0,2.0,2.0,1.0,5.0,,MI,K1,05
cst_id022897,2003-05-17 00:00:00,1968.0,1.0,2.0,2.0,1.0,,PC,C7,04
cst_id054771,2011-03-15 00:00:00,1990.0,1.0,1.0,3.0,4.0,3.0,MI,L2,04
cst_id019306,2002-07-19 00:00:00,1949.0,1.0,,13.0,1.0,6.0,MI,N1,04
cst_id037118,2007-05-08 00:00:00,1985.0,2.0,1.0,9.0,5.0,6.0,MI,K1,04
cst_id054147,2011-01-25 00:00:00,1959.0,1.0,2.0,4.0,2.0,6.0,PC,E1,03
cst_id020131,2002-10-29 00:00:00,1980.0,1.0,2.0,9.0,6.0,5.0,TC,O5,05
cst_id020162,2002-10-31 00:00:00,1973.0,2.0,1.0,9.0,4.0,7.0,MI,K1,05
cst_id017743,2002-01-15 00:00:00,1940.0,1.0,,13.0,2.0,,MI,L3,  
cst_id070723,2015-02-06 00:00:00,1975.0,1.0,1.0,4.0,4.0,2.0,MI,J2,04
cst_id069040,2014-07-28 00:00:00,1941.0,1.0,2.0,5.0,9.0,,PC,E4,04
cst_id022257,1994-03-25 00:00:00,1955.0,2.0,2.0,4.0,9.0,6.0,MI,M1,03
cst_id011162,1997-04-28 00:00:00,1974.0,2.0,1.0,1.0,5.0,3.0,MI,K1,05
cst_id058302,2011-12-19 00:00:00,1983.0,1.0,1.0,13.0,1.0,7.0,PC,D4,
cst_id076697,2017-05-16 00:00:00,1942.0,2.0,2.0,5.0,1.0,2.0,MI,K2,01
cst_id009417,1990-12-03 00:00:00,1950.0,1.0,2.0,8.0,2.0,1.0,MI,N1,01
cst_id030982,2005-08-29 00:00:00,1981.0,1.0,1.0,9.0,9.0,,XS,01,04
cst_id009615,1996-11-29 00:00:00,1957.0,2.0,1.0,9.0,6.0,,MI,K1,05
cst_id002328,2001-12-24 00:00:00,1975.0,2.0,1.0,3.0,2.0,7.0,TC,O5,03
cst_id007275,1994-02-02 00:00:00,1953.0,2.0,3.0,4.0,7.0,5.0,MI,J2,01
cst_id042916,2008-09-12 00:00:00,1977.0,2.0,2.0,3.0,4.0,2.0,MI,N4,04
cst_id059179,2012-03-02 00:00:00,1981.0,2.0,2.0,5.0,2.0,6.0,MI,L3,04
cst_id001581,1992-05-19 00:00:00,1969.0,2.0,1.0,3.0,5.0,6.0,MI,K1,04
cst_id070202,2014-12-08 00:00:00,1988.0,1.0,1.0,3.0,1.0,2.0,MI,N4,05
cst_id038388,2007-08-30 00:00:00,1986.0,2.0,1.0,7.0,2.0,1.0,TC,O5,02
cst_id039568,2007-12-28 00:00:00,1978.0,2.0,1.0,3.0,7.0,6.0,MI,K1,05
cst_id037288,2007-05-22 00:00:00,1963.0,2.0,2.0,4.0,,6.0,MI,K3,04
cst_id045157,2009-03-18 00:00:00,1960.0,2.0,2.0,3.0,6.0,4.0,TC,O5,04
cst_id062561,2012-11-22 00:00:00,1986.0,1.0,1.0,3.0,1.0,3.0,MI,L2,05
cst_id051154,2010-06-17 00:00:00,1978.0,2.0,2.0,8.0,4.0,2.0,MI,L3,04
cst_id015619,1997-07-22 00:00:00,1967.0,2.0,1.0,3.0,7.0,5.0,MI,K1,04
cst_id010823,1999-03-15 00:00:00,1964.0,2.0,2.0,7.0,4.0,2.0,TC,O5,02
cst_id007875,2000-02-11 00:00:00,1983.0,1.0,1.0,3.0,7.0,,MI,L2,04
cst_id070822,2015-02-19 00:00:00,1991.0,2.0,1.0,3.0,3.0,,MI,N4,04
cst_id069118,2014-08-04 00:00:00,1987.0,2.0,1.0,3.0,2.0,2.0,MI,K1,05
cst_id051751,2010-08-03 00:00:00,1975.0,2.0,2.0,3.0,4.0,2.0,MI,M3,04
cst_id028406,2004-10-18 00:00:00,1980.0,1.0,1.0,9.0,1.0,4.0,MI,M3,03
cst_id054417,2011-02-17 00:00:00,1943.0,2.0,2.0,5.0,5.0,3.0,TC,O5,01
cst_id071865,2015-06-25 00:00:00,1964.0,1.0,2.0,3.0,5.0,4.0,MI,K1,04
cst_id035031,2006-11-03 00:00:00,1951.0,2.0,2.0,5.0,10.0,,HN,A5,04
cst_id031065,2005-09-08 00:00:00,1969.0,2.0,1.0,3.0,7.0,,MI,K1,04
cst_id002706,2003-06-20 00:00:00,1968.0,1.0,1.0,4.0,10.0,7.0,XS,01,04
cst_id015232,1999-01-08 00:00:00,1957.0,2.0,1.0,3.0,4.0,,MI,N4,04
cst_id056002,2011-06-07 00:00:00,1990.0,2.0,1.0,3.0,5.0,1.0,MI,L2,04
cst_id073743,2016-03-07 00:00:00,1973.0,1.0,2.0,4.0,,5.0,TC,O5,03
cst_id019737,,,,,,,,,,
cst_id030880,2005-08-15 00:00:00,1972.0,1.0,1.0,9.0,8.0,3.0,MI,K1,04
cst_id045236,2009-03-24 00:00:00,1990.0,2.0,1.0,9.0,4.0,2.0,MI,N4,03
cst_id013107,2001-01-22 00:00:00,1975.0,2.0,2.0,4.0,1.0,,MI,N2,04
cst_id016424,2001-07-13 00:00:00,1973.0,2.0,2.0,4.0,2.0,3.0,TC,O5,02
cst_id005546,1998-10-20 00:00:00,1972.0,2.0,,13.0,2.0,,MI,K2,  
cst_id004178,2001-01-26 00:00:00,1970.0,1.0,1.0,3.0,8.0,6.0,XS,01,04
cst_id075589,2016-11-29 00:00:00,1991.0,1.0,1.0,7.0,2.0,2.0,TC,O5,04
cst_id060082,2012-05-09 00:00:00,1978.0,2.0,1.0,4.0,4.0,7.0,MI,J2,02
cst_id076637,2017-05-08 00:00:00,1973.0,2.0,1.0,3.0,5.0,3.0,TC,O5,04
cst_id022193,1986-08-27 00:00:00,1932.0,1.0,2.0,4.0,10.0,7.0,LM,01,04
cst_id069157,2014-08-07 00:00:00,1964.0,2.0,2.0,3.0,,,TC,O5,
cst_id006773,1998-07-08 00:00:00,1958.0,1.0,2.0,1.0,4.0,,MI,K1,  
cst_id064337,2013-05-01 00:00:00,1994.0,2.0,1.0,4.0,1.0,2.0,TC,O1,04
cst_id000458,2000-10-13 00:00:00,1979.0,2.0,1.0,13.0,4.0,2.0,MI,N5,04
cst_id060106,2012-05-10 00:00:00,1981.0,2.0,2.0,3.0,2.0,1.0,TC,O5,02
cst_id070847,2015-02-21 00:00:00,1992.0,1.0,1.0,3.0,1.0,,TC,O5,04
cst_id075146,2016-09-26 00:00:00,1990.0,2.0,1.0,7.0,2.0,3.0,TC,O5,04
cst_id011287,2001-01-15 00:00:00,1979.0,1.0,1.0,4.0,10.0,,PC,B5,05
cst_id038555,2007-09-18 00:00:00,1977.0,1.0,1.0,3.0,2.0,,TC,O5,01
cst_id029715,2005-04-05 00:00:00,1981.0,2.0,1.0,3.0,4.0,2.0,TC,O5,04
cst_id008363,1993-07-26 00:00:00,1952.0,2.0,2.0,11.0,4.0,4.0,MI,K2,04
cst_id045336,2009-03-31 00:00:00,1985.0,2.0,1.0,9.0,2.0,5.0,TC,O5,05
cst_id064995,2013-06-22 00:00:00,1978.0,1.0,1.0,1.0,5.0,,MI,N4,05
cst_id044117,2008-12-29 00:00:00,1984.0,2.0,2.0,3.0,2.0,1.0,TC,O5,02
cst_id050197,2010-04-15 00:00:00,1992.0,1.0,1.0,1.0,4.0,6.0,PC,D3,04
cst_id019433,2002-08-05 00:00:00,1974.0,1.0,,3.0,2.0,,XS,01,04
cst_id054868,2011-03-22 00:00:00,1991.0,2.0,2.0,9.0,3.0,3.0,MI,N4,04
cst_id016638,2001-08-14 00:00:00,1980.0,2.0,2.0,4.0,8.0,,MI,M1,04
cst_id003349,1985-08-30 00:00:00,1947.0,2.0,1.0,13.0,2.0,,MI,L3,  
cst_id037247,2008-09-28 00:00:00,1969.0,2.0,1.0,7.0,1.0,6.0,XS,01,04
cst_id076017,2017-02-02 00:00:00,1999.0,2.0,1.0,6.0,1.0,1.0,TC,O2,02
cst_id048070,2009-11-05 00:00:00,1984.0,2.0,1.0,13.0,3.0,2.0,MI,N4,04
cst_id077086,2017-07-07 00:00:00,1975.0,1.0,1.0,9.0,2.0,2.0,TC,O5,02
cst_id068630,2014-06-13 00:00:00,1995.0,1.0,1.0,3.0,1.0,3.0,TC,O1,03
cst_id070670,2015-02-01 00:00:00,1986.0,2.0,1.0,3.0,4.0,,MI,K1,05
cst_id040124,2008-02-17 00:00:00,1972.0,2.0,1.0,3.0,5.0,1.0,TC,O5,04
cst_id076010,2017-02-01 00:00:00,1998.0,2.0,1.0,6.0,1.0,4.0,TC,O2,02
cst_id068089,2014-04-30 00:00:00,1978.0,2.0,2.0,9.0,,,TC,O5,
cst_id015628,2001-02-23 00:00:00,1966.0,1.0,,9.0,,,XS,01,
cst_id018336,2002-04-04 00:00:00,1968.0,1.0,1.0,9.0,8.0,,MI,K1,04
cst_id009148,1988-11-28 00:00:00,1957.0,2.0,3.0,4.0,8.0,,MI,J2,03
cst_id010632,2000-05-09 00:00:00,1962.0,1.0,2.0,3.0,7.0,5.0,MI,K1,04
cst_id043536,2008-11-05 00:00:00,1982.0,2.0,1.0,1.0,1.0,2.0,TC,O5,05
cst_id036094,2007-02-20 00:00:00,1961.0,2.0,1.0,5.0,8.0,,MI,H4,04
cst_id037268,2007-05-21 00:00:00,1975.0,2.0,1.0,8.0,1.0,,TC,O5,01
cst_id076594,2017-05-03 00:00:00,1980.0,1.0,2.0,7.0,5.0,3.0,MI,J3,02
cst_id012016,1991-01-01 00:00:00,1981.0,2.0,1.0,3.0,2.0,2.0,TC,O5,02
cst_id018280,2002-03-28 00:00:00,1982.0,2.0,2.0,3.0,2.0,1.0,TC,O5,03
cst_id052467,2010-09-20 00:00:00,1986.0,1.0,1.0,7.0,2.0,,RO,01,02
cst_id036081,2007-02-20 00:00:00,1982.0,2.0,1.0,3.0,1.0,1.0,TC,O5,03
cst_id000231,2000-01-11 00:00:00,1974.0,2.0,2.0,9.0,4.0,2.0,TC,O5,02
cst_id016164,2001-06-13 00:00:00,1973.0,2.0,1.0,13.0,7.0,,MI,N1,  
cst_id052436,2010-09-16 00:00:00,1993.0,1.0,1.0,3.0,4.0,2.0,TC,O1,04
cst_id024182,2003-07-07 00:00:00,1978.0,1.0,2.0,7.0,1.0,3.0,TC,O5,03
cst_id041552,2008-06-03 00:00:00,1986.0,2.0,2.0,5.0,,,MI,L3,04
cst_id002323,1985-04-11 00:00:00,1953.0,1.0,1.0,9.0,8.0,6.0,XS,01,05
cst_id070054,2014-11-19 00:00:00,1995.0,1.0,1.0,3.0,3.0,,TC,O1,03
cst_id018408,2002-04-12 00:00:00,1964.0,2.0,4.0,13.0,4.0,,MI,N5,03
cst_id060241,2012-05-21 00:00:00,1984.0,2.0,1.0,3.0,2.0,1.0,TC,O5,04
cst_id067869,2014-04-10 00:00:00,1986.0,2.0,1.0,5.0,2.0,,TC,O5,04
cst_id040583,2008-03-24 00:00:00,1973.0,2.0,2.0,7.0,9.0,7.0,MI,I3,05
cst_id062834,2012-12-19 00:00:00,1989.0,2.0,1.0,3.0,2.0,2.0,TC,O5,04
cst_id001003,2003-05-08 00:00:00,1975.0,2.0,1.0,3.0,5.0,,PC,D3,04
cst_id044614,2009-02-04 00:00:00,1986.0,1.0,1.0,2.0,9.0,6.0,MI,H3,05
cst_id007940,1987-01-27 00:00:00,1949.0,1.0,2.0,4.0,1.0,7.0,SM,01,05
cst_id076749,2017-05-23 00:00:00,1989.0,2.0,1.0,3.0,2.0,,TC,O5,04
cst_id019988,2002-10-09 00:00:00,1986.0,1.0,1.0,3.0,6.0,5.0,MI,K1,04
cst_id025987,2004-01-19 00:00:00,1973.0,2.0,1.0,3.0,1.0,,TC,O5,02
cst_id041115,2008-05-07 00:00:00,1952.0,1.0,1.0,1.0,9.0,,PC,E3,05
cst_id019225,2002-07-22 00:00:00,1977.0,2.0,2.0,13.0,2.0,3.0,MI,N1,01
cst_id073404,2016-01-20 00:00:00,1984.0,1.0,1.0,9.0,2.0,2.0,TC,O5,02
cst_id070966,2015-03-09 00:00:00,2001.0,2.0,1.0,6.0,1.0,,TC,O3,02
cst_id040886,2008-04-17 00:00:00,1983.0,2.0,1.0,7.0,5.0,7.0,MI,J3,04
cst_id054063,2011-01-17 00:00:00,1982.0,1.0,1.0,4.0,7.0,1.0,MI,K3,04
cst_id069856,2014-10-25 00:00:00,1996.0,2.0,1.0,6.0,2.0,1.0,TC,O2,03
cst_id077001,2017-06-26 00:00:00,1968.0,2.0,2.0,1.0,5.0,6.0,TC,O5,04
cst_id059171,2012-03-01 00:00:00,1986.0,2.0,1.0,5.0,2.0,,MI,H4,04
cst_id074856,2016-08-09 00:00:00,1994.0,2.0,1.0,3.0,2.0,2.0,TC,O1,03
cst_id051673,2010-07-21 00:00:00,1987.0,2.0,1.0,3.0,2.0,1.0,MI,L2,02
cst_id076750,2017-05-23 00:00:00,1995.0,2.0,1.0,7.0,2.0,3.0,TC,O1,04
cst_id072424,2015-09-02 00:00:00,1988.0,2.0,1.0,4.0,,,TC,O5,
cst_id071690,2015-06-03 00:00:00,1993.0,1.0,2.0,9.0,2.0,5.0,TC,O1,03
cst_id040039,2008-02-12 00:00:00,1949.0,2.0,1.0,4.0,4.0,2.0,MI,K3,01
cst_id043509,2008-11-03 00:00:00,1982.0,1.0,1.0,7.0,8.0,7.0,MI,I2,04
cst_id060056,2012-05-06 00:00:00,1977.0,1.0,1.0,9.0,1.0,3.0,TC,O5,04
cst_id038289,2007-08-23 00:00:00,1984.0,1.0,1.0,3.0,3.0,1.0,MI,N4,03
cst_id043915,2008-12-11 00:00:00,1960.0,2.0,2.0,5.0,2.0,,RO,01,01
cst_id014234,1996-07-19 00:00:00,1963.0,2.0,2.0,4.0,9.0,7.0,MI,K3,04
cst_id044998,2009-03-06 00:00:00,1968.0,2.0,2.0,1.0,4.0,3.0,MI,M3,04
cst_id045391,2009-04-03 00:00:00,1993.0,1.0,1.0,6.0,1.0,,TC,O1,03
cst_id017894,2002-02-07 00:00:00,1936.0,2.0,2.0,11.0,2.0,2.0,MI,L3,02
cst_id026997,2004-05-11 00:00:00,1980.0,2.0,1.0,9.0,2.0,,TC,O5,03
cst_id065995,2013-09-30 00:00:00,1968.0,1.0,2.0,7.0,8.0,,TC,O5,04
cst_id043169,2008-10-03 00:00:00,1985.0,1.0,1.0,3.0,4.0,3.0,MI,N4,04
cst_id049847,2010-03-19 00:00:00,1983.0,1.0,1.0,3.0,7.0,2.0,MI,L2,04
cst_id013266,1997-08-22 00:00:00,1968.0,1.0,2.0,9.0,2.0,1.0,TC,O5,05
cst_id036519,2007-03-23 00:00:00,1978.0,2.0,2.0,7.0,5.0,4.0,MI,L1,03
cst_id017291,2001-11-16 00:00:00,1981.0,2.0,1.0,3.0,3.0,1.0,MI,N4,02
cst_id077236,2017-07-31 00:00:00,1994.0,2.0,2.0,9.0,2.0,2.0,TC,O1,02
cst_id013471,1999-05-12 00:00:00,1981.0,2.0,2.0,2.0,5.0,6.0,MI,L2,06
cst_id043744,2012-04-05 00:00:00,1970.0,2.0,2.0,3.0,4.0,3.0,XS,01,04
cst_id043334,2008-10-17 00:00:00,1960.0,2.0,1.0,9.0,1.0,3.0,MI,K1,02
cst_id050453,2010-05-03 00:00:00,1968.0,1.0,1.0,3.0,4.0,6.0,MI,N4,04
cst_id041020,2008-04-29 00:00:00,1987.0,2.0,2.0,3.0,2.0,1.0,TC,O5,02
cst_id017342,2001-11-26 00:00:00,1979.0,2.0,1.0,7.0,2.0,,TC,O5,
cst_id074083,2016-04-29 00:00:00,1968.0,1.0,2.0,8.0,2.0,3.0,MI,N1,01
cst_id010817,1993-12-15 00:00:00,1951.0,2.0,1.0,5.0,2.0,2.0,MI,K2,02
cst_id018944,2002-06-11 00:00:00,1978.0,1.0,,3.0,5.0,5.0,MI,K1,05
cst_id040374,2008-03-07 00:00:00,1984.0,1.0,2.0,7.0,3.0,,TC,O5,03
cst_id063606,2013-02-27 00:00:00,1970.0,1.0,2.0,3.0,2.0,2.0,TC,O5,02
cst_id047521,2009-09-20 00:00:00,1968.0,2.0,2.0,3.0,2.0,3.0,TC,O5,03
cst_id078828,2018-03-25 00:00:00,1996.0,2.0,1.0,6.0,,,TC,O2,
cst_id053716,2010-12-22 00:00:00,1984.0,1.0,1.0,3.0,3.0,4.0,MI,N4,04
cst_id070069,2014-11-21 00:00:00,1974.0,2.0,1.0,3.0,4.0,3.0,MI,L2,04
cst_id024692,2003-09-01 00:00:00,1975.0,2.0,1.0,1.0,2.0,,TC,O5,01
cst_id078809,2018-03-20 00:00:00,1996.0,1.0,1.0,6.0,1.0,,TC,O2,04
cst_id077879,2017-11-15 00:00:00,1982.0,1.0,1.0,7.0,9.0,,MI,N3,04
cst_id013669,1995-04-25 00:00:00,1974.0,2.0,1.0,13.0,2.0,,MI,N5,
cst_id076795,2017-05-30 00:00:00,1981.0,1.0,1.0,10.0,,,MI,N1,
cst_id019637,2002-08-29 00:00:00,1977.0,1.0,2.0,3.0,6.0,4.0,TC,O5,04
cst_id002266,2001-02-16 00:00:00,1966.0,1.0,2.0,4.0,1.0,6.0,MI,I1,04
cst_id066753,2013-12-19 00:00:00,1972.0,1.0,2.0,1.0,4.0,3.0,TC,O5,05
cst_id061754,2012-09-11 00:00:00,1987.0,2.0,1.0,1.0,5.0,6.0,MI,M3,04
cst_id041837,2008-06-23 00:00:00,1972.0,1.0,2.0,9.0,5.0,3.0,MI,K1,03
cst_id028094,2004-09-15 00:00:00,1976.0,1.0,1.0,4.0,1.0,3.0,XS,01,04
cst_id036730,2007-04-04 00:00:00,1981.0,1.0,2.0,4.0,5.0,7.0,TC,O5,04
cst_id035965,2007-02-09 00:00:00,1983.0,2.0,1.0,9.0,5.0,1.0,MI,K1,04
cst_id048629,2009-12-23 00:00:00,1969.0,1.0,2.0,9.0,5.0,4.0,MI,M3,04
cst_id075728,2016-12-21 00:00:00,1997.0,1.0,1.0,3.0,2.0,3.0,TC,O1,03
cst_id045585,2009-04-24 00:00:00,1943.0,2.0,1.0,7.0,4.0,3.0,MI,H2,04
cst_id016275,2001-06-26 00:00:00,1952.0,2.0,2.0,7.0,8.0,7.0,HN,A5,05
cst_id029897,2005-04-28 00:00:00,1974.0,2.0,2.0,3.0,2.0,,TC,O5,01
cst_id021221,2003-02-20 00:00:00,1966.0,1.0,2.0,4.0,5.0,,MI,M1,02
cst_id062774,2012-12-14 00:00:00,1981.0,1.0,1.0,3.0,7.0,,MI,K1,04
cst_id032356,2006-02-20 00:00:00,1984.0,2.0,1.0,9.0,1.0,1.0,TC,O5,02
cst_id060151,2012-05-13 00:00:00,1990.0,2.0,2.0,5.0,2.0,1.0,TC,O5,03
cst_id070224,2014-12-10 00:00:00,1982.0,2.0,2.0,9.0,2.0,,TC,O5,03
cst_id075395,2016-10-31 00:00:00,1986.0,2.0,2.0,7.0,2.0,2.0,TC,O5,03
cst_id076546,2017-04-26 00:00:00,1987.0,2.0,1.0,9.0,4.0,,MI,N4,04
cst_id010581,2000-01-21 00:00:00,1970.0,2.0,1.0,3.0,1.0,5.0,MI,K1,04
cst_id077742,2017-10-19 00:00:00,1989.0,2.0,2.0,3.0,2.0,2.0,TC,O5,03
cst_id059333,2012-03-14 00:00:00,1988.0,1.0,1.0,9.0,4.0,4.0,MI,N4,04
cst_id010870,1989-11-27 00:00:00,1947.0,2.0,3.0,4.0,2.0,3.0,MI,J2,02
cst_id073790,2016-03-13 00:00:00,1980.0,1.0,2.0,9.0,5.0,4.0,TC,O5,03
cst_id077635,2017-09-29 00:00:00,1985.0,2.0,1.0,3.0,2.0,1.0,TC,O5,02
cst_id027083,2004-05-19 00:00:00,1981.0,1.0,1.0,7.0,4.0,,MI,L1,01
cst_id066756,2013-12-19 00:00:00,1989.0,2.0,1.0,9.0,4.0,,TC,O5,04
cst_id014352,2001-02-21 00:00:00,1957.0,1.0,2.0,3.0,8.0,,LM,01,05
cst_id067021,2014-01-20 00:00:00,1981.0,2.0,2.0,9.0,2.0,2.0,MI,N4,04
cst_id007677,1990-10-29 00:00:00,1960.0,2.0,2.0,5.0,4.0,3.0,MI,K2,02
cst_id063546,2013-02-21 00:00:00,1966.0,1.0,2.0,9.0,1.0,2.0,TC,O5,01
cst_id017751,2002-01-15 00:00:00,1970.0,2.0,2.0,1.0,2.0,,MI,M3,
cst_id011231,1999-03-29 00:00:00,1959.0,2.0,4.0,4.0,8.0,5.0,XS,01,04
cst_id032207,2006-01-31 00:00:00,1980.0,2.0,1.0,9.0,2.0,2.0,TC,O5,03
cst_id063852,2013-03-19 00:00:00,1991.0,1.0,1.0,4.0,5.0,7.0,MI,K3,05
cst_id006403,1999-10-05 00:00:00,1984.0,1.0,1.0,3.0,7.0,6.0,PC,D3,05
cst_id078149,2017-12-20 00:00:00,1981.0,2.0,2.0,9.0,2.0,,TC,O5,02
