u_id,cc_cst_no
cst_id034640,
cst_id046621,
cst_id041202,
cst_id000692,cc_cst_no000794
cst_id074027,
cst_id062298,
cst_id003548,cc_cst_no003235
cst_id074842,
cst_id033211,cc_cst_no060893
cst_id033211,cc_cst_no027313
cst_id022517,
cst_id036862,
cst_id028224,
cst_id041838,
cst_id071322,
cst_id059653,
cst_id028376,
cst_id067016,
cst_id007930,cc_cst_no014530
cst_id009672,cc_cst_no002493
cst_id069295,
cst_id033510,
cst_id030379,cc_cst_no016397
cst_id072869,
cst_id078212,cc_cst_no073015
cst_id078212,cc_cst_no056498
cst_id019966,
cst_id068145,
cst_id058656,
cst_id019483,
cst_id050569,
cst_id049785,
cst_id073734,
cst_id049900,
cst_id032832,
cst_id017984,cc_cst_no024724
cst_id063683,
cst_id077185,
cst_id078715,
cst_id046642,
cst_id078052,
cst_id017786,cc_cst_no042443
cst_id043416,
cst_id022885,cc_cst_no004481
cst_id024129,cc_cst_no029066
cst_id054226,
cst_id033022,
cst_id024617,cc_cst_no042037
cst_id041784,
cst_id040129,
cst_id005120,
cst_id061480,
cst_id001124,
cst_id074579,
cst_id002967,cc_cst_no065015
cst_id002967,cc_cst_no036341
cst_id010127,cc_cst_no000949
cst_id010495,cc_cst_no000193
cst_id067440,
cst_id031533,cc_cst_no008792
cst_id059942,
cst_id077285,
cst_id017144,cc_cst_no066548
cst_id076215,
cst_id006568,
cst_id072474,
cst_id007465,cc_cst_no066437
cst_id007465,cc_cst_no002765
cst_id046574,
cst_id036593,cc_cst_no011851
cst_id076544,
cst_id064894,
cst_id059609,cc_cst_no032773
cst_id038373,cc_cst_no013834
cst_id024476,
cst_id078515,
cst_id000901,cc_cst_no074601
cst_id042661,
cst_id076483,
cst_id002652,
cst_id016484,cc_cst_no019526
cst_id050770,
cst_id022986,cc_cst_no004909
cst_id072070,
cst_id072616,
cst_id040959,cc_cst_no060626
cst_id040959,cc_cst_no033839
cst_id043800,cc_cst_no055343
cst_id015301,cc_cst_no006129
cst_id011013,cc_cst_no031407
cst_id039422,
cst_id061759,
cst_id000806,
cst_id034358,
cst_id004578,cc_cst_no028637
cst_id044731,
cst_id010651,
cst_id034124,cc_cst_no010165
cst_id077091,
cst_id044063,
cst_id000205,
cst_id077044,
cst_id061565,
cst_id076038,
cst_id078932,
cst_id005330,
cst_id069752,
cst_id036071,
cst_id078930,
cst_id068878,
cst_id004776,cc_cst_no018414
cst_id016199,cc_cst_no001214
cst_id026393,
cst_id073913,
cst_id046022,cc_cst_no044591
cst_id046759,cc_cst_no018431
cst_id071146,
cst_id017129,
cst_id010037,cc_cst_no011983
cst_id078919,
cst_id074937,
cst_id064009,
cst_id078591,
cst_id004717,cc_cst_no035888
cst_id017696,cc_cst_no012355
cst_id075790,
cst_id064109,cc_cst_no066209
cst_id064109,cc_cst_no042482
cst_id004212,cc_cst_no006742
cst_id074942,
cst_id026633,cc_cst_no009698
cst_id070222,
cst_id078112,
cst_id011621,cc_cst_no003349
cst_id056257,cc_cst_no024873
cst_id078783,
cst_id064691,
cst_id051054,
cst_id064287,
cst_id014799,cc_cst_no020291
cst_id037855,
cst_id055745,cc_cst_no037341
cst_id036343,cc_cst_no011115
cst_id029641,cc_cst_no019716
cst_id075046,
cst_id010049,cc_cst_no048492
cst_id024526,cc_cst_no048840
cst_id078374,
cst_id078920,
cst_id049202,cc_cst_no018049
cst_id051856,
cst_id043542,
cst_id042410,
cst_id067759,
cst_id019363,
cst_id073863,
cst_id078117,
cst_id046034,cc_cst_no072416
cst_id008913,cc_cst_no008844
cst_id000726,
cst_id041746,
cst_id050560,
cst_id076232,
cst_id059347,
cst_id072067,
cst_id077470,
cst_id023993,cc_cst_no061574
cst_id023993,cc_cst_no026647
cst_id048826,
cst_id050704,cc_cst_no064539
cst_id050704,cc_cst_no035276
cst_id078725,
cst_id009776,cc_cst_no039544
cst_id009776,cc_cst_no068052
cst_id022397,
cst_id011606,
cst_id049089,
cst_id045363,cc_cst_no037335
cst_id044866,cc_cst_no027188
cst_id014558,
cst_id039421,
cst_id011313,
cst_id059256,
cst_id009780,
cst_id025149,cc_cst_no065380
cst_id063376,
cst_id007327,
cst_id027873,
cst_id005461,
cst_id058806,
cst_id077701,
cst_id054425,
cst_id078589,
cst_id046590,cc_cst_no026685
cst_id073345,
cst_id023400,cc_cst_no006525
cst_id055191,cc_cst_no071507
cst_id055191,cc_cst_no054888
cst_id023921,
cst_id070107,
cst_id049299,
cst_id078185,
cst_id078433,
cst_id000786,cc_cst_no012051
cst_id040871,
cst_id004315,
cst_id013262,cc_cst_no042107
cst_id078422,
cst_id052525,cc_cst_no020615
cst_id049824,
cst_id036753,cc_cst_no011351
cst_id075770,
cst_id056040,cc_cst_no032881
cst_id001065,cc_cst_no011853
cst_id039642,
cst_id076458,
cst_id045925,
cst_id020328,
cst_id032801,cc_cst_no051158
cst_id032801,cc_cst_no069834
cst_id073641,
cst_id073818,
cst_id047421,cc_cst_no029356
cst_id050939,
cst_id049384,cc_cst_no018201
cst_id013579,cc_cst_no001666
cst_id029697,
cst_id004841,
cst_id007325,cc_cst_no030778
cst_id007325,cc_cst_no062385
cst_id053022,
cst_id074634,
cst_id011067,cc_cst_no067383
cst_id011067,cc_cst_no042311
cst_id053923,
cst_id002906,
cst_id050889,
cst_id026750,
cst_id001116,cc_cst_no001954
cst_id073720,
cst_id061498,
cst_id023179,cc_cst_no005870
cst_id042823,cc_cst_no042950
cst_id039884,
cst_id078726,
cst_id020037,
cst_id052441,cc_cst_no056010
cst_id064975,
cst_id056170,
cst_id078646,
cst_id045918,cc_cst_no044861
cst_id045918,cc_cst_no060745
cst_id030686,
cst_id006453,cc_cst_no003248
cst_id027862,
cst_id038962,cc_cst_no032533
cst_id064190,
cst_id062999,cc_cst_no050503
cst_id050878,cc_cst_no043911
cst_id030955,
cst_id051286,cc_cst_no026865
cst_id062349,
cst_id075701,
cst_id027668,cc_cst_no009471
cst_id038424,cc_cst_no021943
cst_id052414,cc_cst_no023993
cst_id022840,cc_cst_no004331
cst_id059314,
cst_id000156,cc_cst_no005879
cst_id073261,
cst_id045105,
cst_id061696,
cst_id012478,cc_cst_no033657
cst_id040426,
cst_id028552,
cst_id015484,cc_cst_no031225
cst_id044358,
cst_id007501,
cst_id005866,cc_cst_no000094
cst_id017929,
cst_id057007,
cst_id054701,
cst_id033365,cc_cst_no029101
cst_id006952,cc_cst_no022514
cst_id012325,cc_cst_no010360
cst_id025386,cc_cst_no007225
cst_id005174,cc_cst_no058421
cst_id005174,cc_cst_no004539
cst_id041312,
cst_id050650,cc_cst_no021777
cst_id069635,cc_cst_no051669
cst_id011003,
cst_id000184,cc_cst_no001818
cst_id046078,
cst_id077883,
cst_id034468,cc_cst_no039531
cst_id077938,
cst_id068867,
cst_id010801,
cst_id075374,
cst_id030682,
cst_id075079,
cst_id016865,cc_cst_no002003
cst_id020017,
cst_id030961,cc_cst_no017885
cst_id077552,
cst_id072956,
cst_id078016,
cst_id078133,
cst_id078011,
cst_id027342,cc_cst_no042184
cst_id027342,cc_cst_no068102
cst_id047310,cc_cst_no039262
cst_id040080,
cst_id063944,
cst_id056598,cc_cst_no048151
cst_id056598,cc_cst_no068834
cst_id007608,
cst_id007563,
cst_id070933,
cst_id070880,
cst_id058586,cc_cst_no042522
cst_id010020,
cst_id001631,cc_cst_no001248
cst_id025698,cc_cst_no018206
cst_id065951,
cst_id040516,cc_cst_no071734
cst_id020838,
cst_id016486,
cst_id015862,cc_cst_no008823
cst_id076841,
cst_id075226,
cst_id039531,
cst_id071114,
cst_id002491,
cst_id037476,
cst_id004809,cc_cst_no021909
cst_id034868,cc_cst_no027018
cst_id059122,
cst_id013759,cc_cst_no001375
cst_id077391,
cst_id035246,cc_cst_no072054
cst_id035246,cc_cst_no055452
cst_id060006,cc_cst_no029093
cst_id060006,cc_cst_no061563
cst_id043372,cc_cst_no014009
cst_id006677,cc_cst_no002569
cst_id070343,cc_cst_no070017
cst_id067756,
cst_id076423,
cst_id028031,cc_cst_no016262
cst_id075310,
cst_id070606,
cst_id076516,
cst_id070987,
cst_id024783,
cst_id008621,
cst_id078239,
cst_id025758,cc_cst_no020872
cst_id067427,
cst_id063443,
cst_id038359,cc_cst_no012157
cst_id049441,cc_cst_no034897
cst_id027828,
cst_id028589,
cst_id008776,
cst_id041286,cc_cst_no025435
cst_id050348,cc_cst_no018797
cst_id029610,
cst_id078297,
cst_id020327,cc_cst_no036380
cst_id047865,
cst_id000107,cc_cst_no003684
cst_id070197,
cst_id068241,
cst_id062223,
cst_id029133,
cst_id015714,cc_cst_no060926
cst_id006358,
cst_id004161,
cst_id028714,cc_cst_no017580
cst_id034654,cc_cst_no038582
cst_id034654,cc_cst_no058290
cst_id044741,
cst_id051145,cc_cst_no028058
cst_id032367,cc_cst_no073364
cst_id032367,cc_cst_no056852
cst_id059148,cc_cst_no028097
cst_id004597,cc_cst_no006131
cst_id043327,cc_cst_no035146
cst_id017285,
cst_id036690,
cst_id052760,cc_cst_no047987
cst_id016558,
cst_id041846,
cst_id046046,
cst_id009700,
cst_id002174,cc_cst_no018149
cst_id023174,cc_cst_no005858
cst_id017945,cc_cst_no011581
cst_id022206,
cst_id004451,cc_cst_no009194
cst_id042857,cc_cst_no043215
cst_id047432,cc_cst_no038403
cst_id077538,
cst_id071032,
cst_id075135,
cst_id073431,
cst_id041939,cc_cst_no018335
cst_id038306,cc_cst_no033078
cst_id061762,
cst_id078378,
cst_id036667,cc_cst_no027462
cst_id043165,
cst_id011622,cc_cst_no037647
cst_id008278,
cst_id047988,
cst_id044899,
cst_id066730,
cst_id034653,cc_cst_no027350
cst_id078260,
cst_id055934,cc_cst_no024394
cst_id076674,
cst_id077094,
cst_id078518,
cst_id013914,cc_cst_no045085
cst_id024251,cc_cst_no051427
cst_id005226,cc_cst_no007916
cst_id029977,
cst_id003978,cc_cst_no023231
cst_id076850,
cst_id058953,
cst_id010486,cc_cst_no021553
cst_id069370,
cst_id056752,
cst_id076673,
cst_id011415,
cst_id007168,
cst_id045203,
cst_id070791,
cst_id006792,cc_cst_no061539
cst_id006792,cc_cst_no023768
cst_id023803,
cst_id063937,
cst_id036329,cc_cst_no049013
cst_id019017,cc_cst_no039692
cst_id039549,cc_cst_no016473
cst_id005992,
cst_id075385,
cst_id030489,
cst_id009367,cc_cst_no003891
cst_id078169,
cst_id000812,cc_cst_no009031
cst_id026538,
cst_id038282,cc_cst_no027062
cst_id058348,
cst_id020385,cc_cst_no021310
cst_id078020,
cst_id013465,
cst_id052655,cc_cst_no036138
cst_id068111,
cst_id064204,
cst_id049520,cc_cst_no032491
cst_id030246,cc_cst_no073265
cst_id062969,
cst_id078004,
cst_id005609,cc_cst_no030158
cst_id078026,
cst_id043835,cc_cst_no037024
cst_id020034,cc_cst_no067445
cst_id020034,cc_cst_no042839
cst_id072514,
cst_id058837,
cst_id030690,
cst_id060483,
cst_id050044,
cst_id021072,
cst_id069886,cc_cst_no043784
cst_id026942,
cst_id015474,cc_cst_no021658
cst_id002593,cc_cst_no021744
cst_id034030,cc_cst_no015501
cst_id040492,cc_cst_no015082
cst_id051040,
cst_id031077,cc_cst_no067843
cst_id031077,cc_cst_no043946
cst_id078755,
cst_id034307,cc_cst_no023646
cst_id034307,cc_cst_no059623
cst_id045461,
cst_id041675,
cst_id076779,
cst_id077203,
cst_id074908,
cst_id004978,cc_cst_no030296
cst_id072918,cc_cst_no054192
cst_id037218,
cst_id057019,
cst_id075866,
cst_id015667,cc_cst_no019557
cst_id010798,
cst_id028509,
cst_id062130,
cst_id074296,
cst_id019810,cc_cst_no006876
cst_id024260,cc_cst_no032858
cst_id046969,
cst_id020911,cc_cst_no069350
cst_id020911,cc_cst_no020854
cst_id076374,
cst_id036888,cc_cst_no054668
cst_id012090,cc_cst_no012864
cst_id045337,
cst_id071819,
cst_id020900,cc_cst_no014678
cst_id037254,
cst_id058111,cc_cst_no037232
cst_id058111,cc_cst_no065460
cst_id055540,
cst_id066189,
cst_id022949,cc_cst_no021922
cst_id034706,cc_cst_no031478
cst_id019546,
cst_id037092,
cst_id010958,cc_cst_no002259
cst_id056077,
cst_id004518,cc_cst_no001282
cst_id054759,
cst_id069327,cc_cst_no054635
cst_id010815,
cst_id046023,cc_cst_no072584
cst_id050711,
cst_id010867,cc_cst_no009126
cst_id078541,
cst_id068713,
cst_id071183,
cst_id063031,
cst_id013785,
cst_id024346,
cst_id077468,
cst_id020086,
cst_id042093,cc_cst_no039715
cst_id017837,
cst_id044621,
cst_id026765,
cst_id063804,
cst_id046906,cc_cst_no026895
cst_id046906,cc_cst_no060738
cst_id030093,cc_cst_no016848
cst_id077963,
cst_id034488,
cst_id057829,cc_cst_no064853
cst_id057829,cc_cst_no035945
cst_id042063,cc_cst_no026064
cst_id042063,cc_cst_no059280
cst_id077459,
cst_id077825,
cst_id009912,
cst_id064985,
cst_id042934,
cst_id059353,
cst_id062735,
cst_id072931,
cst_id069392,
cst_id064870,
cst_id011196,cc_cst_no003981
cst_id010013,
cst_id066794,
cst_id074930,
cst_id032148,cc_cst_no022831
cst_id051618,
cst_id014671,cc_cst_no028339
cst_id008366,
cst_id004101,
cst_id064543,cc_cst_no056891
cst_id063564,
cst_id046796,
cst_id040622,
cst_id012642,cc_cst_no007320
cst_id031574,
cst_id071803,cc_cst_no051291
cst_id071043,
cst_id078310,
cst_id043125,
cst_id028340,
cst_id018566,
cst_id017478,cc_cst_no061060
cst_id048060,
cst_id052904,
cst_id030850,cc_cst_no020158
cst_id020833,
cst_id024674,cc_cst_no042410
cst_id069650,
cst_id040721,
cst_id075282,
cst_id077143,
cst_id077723,
cst_id009868,
cst_id045283,
cst_id065054,
cst_id010830,
cst_id071187,
cst_id007464,
cst_id017534,
cst_id031006,cc_cst_no015145
cst_id014974,cc_cst_no002329
cst_id030146,
cst_id073626,
cst_id078265,
cst_id078553,
cst_id025853,cc_cst_no007341
cst_id041985,
cst_id006877,cc_cst_no002694
cst_id052540,
cst_id078759,
cst_id075901,
cst_id071127,
cst_id026445,
cst_id073027,
cst_id078558,
cst_id023530,cc_cst_no044933
cst_id023530,cc_cst_no068607
cst_id055764,
cst_id017461,
cst_id052109,cc_cst_no020144
cst_id067776,
cst_id006942,cc_cst_no001833
cst_id042142,cc_cst_no013417
cst_id002154,cc_cst_no012105
cst_id076047,
cst_id052872,
cst_id020866,
cst_id002905,cc_cst_no020657
cst_id027266,
cst_id066239,
cst_id078536,
cst_id066731,
cst_id064300,
cst_id067408,
cst_id073254,
cst_id000080,cc_cst_no007750
cst_id034779,
cst_id028825,cc_cst_no008120
cst_id059201,
cst_id060954,cc_cst_no030256
cst_id000043,cc_cst_no000297
cst_id023933,cc_cst_no042936
cst_id013204,
cst_id075697,
cst_id050036,cc_cst_no054024
cst_id017364,
cst_id040532,
cst_id046070,cc_cst_no060943
cst_id046070,cc_cst_no015494
cst_id001695,
cst_id064500,
cst_id002469,cc_cst_no000904
cst_id023020,cc_cst_no005092
cst_id018971,
cst_id078525,
cst_id046930,
cst_id021863,
cst_id026529,
cst_id075341,
cst_id073023,
cst_id014521,cc_cst_no039600
cst_id004089,
cst_id065802,cc_cst_no068991
cst_id065802,cc_cst_no048883
cst_id006578,
cst_id065839,
cst_id078430,
cst_id058431,cc_cst_no038616
cst_id044922,
cst_id012728,cc_cst_no059389
cst_id012728,cc_cst_no016235
cst_id059215,
cst_id078263,
cst_id004402,cc_cst_no028744
cst_id068541,
cst_id007495,
cst_id001410,
cst_id047288,
cst_id076152,
cst_id035067,
cst_id031679,
cst_id025495,
cst_id038441,
cst_id073043,cc_cst_no074677
cst_id020073,cc_cst_no007854
cst_id021333,cc_cst_no075388
cst_id021333,cc_cst_no018203
cst_id054466,
cst_id047820,cc_cst_no018461
cst_id066089,cc_cst_no041291
cst_id060298,
cst_id033525,cc_cst_no020482
cst_id009972,cc_cst_no000853
cst_id077946,
cst_id046688,cc_cst_no019345
cst_id010296,cc_cst_no038647
cst_id016897,cc_cst_no007138
cst_id032779,
cst_id023408,cc_cst_no006548
cst_id068357,
cst_id059260,
cst_id032713,cc_cst_no009555
cst_id067996,
cst_id022196,
cst_id032758,
cst_id038950,
cst_id049797,cc_cst_no018410
cst_id048500,
cst_id044357,cc_cst_no059369
cst_id058042,cc_cst_no041797
cst_id066653,
cst_id016376,
cst_id000629,
cst_id033732,
cst_id023069,cc_cst_no024877
cst_id072585,
cst_id024755,cc_cst_no000822
cst_id046853,cc_cst_no036628
cst_id000397,cc_cst_no015639
cst_id013296,
cst_id056206,
cst_id044824,cc_cst_no025908
cst_id033881,
cst_id041907,
cst_id075042,
cst_id009699,
cst_id033890,cc_cst_no014172
cst_id024835,
cst_id072502,
cst_id003639,cc_cst_no001786
cst_id002526,
cst_id030915,
cst_id010178,cc_cst_no043515
cst_id010178,cc_cst_no067852
cst_id078700,
cst_id041961,cc_cst_no013339
cst_id058929,
cst_id030309,cc_cst_no039218
cst_id077107,
cst_id035462,
cst_id047370,
cst_id035168,cc_cst_no015757
cst_id065906,
cst_id017126,cc_cst_no059112
cst_id017126,cc_cst_no010411
cst_id029949,cc_cst_no026362
cst_id004085,cc_cst_no003931
cst_id064017,
cst_id023877,
cst_id007180,
cst_id003107,cc_cst_no007210
cst_id032094,
cst_id044535,cc_cst_no036178
cst_id021521,cc_cst_no029190
cst_id009953,cc_cst_no042239
cst_id038723,cc_cst_no062803
cst_id038723,cc_cst_no031694
cst_id051937,
cst_id036570,cc_cst_no011255
cst_id021141,cc_cst_no005517
cst_id034182,
cst_id078689,
cst_id002666,cc_cst_no002058
cst_id030661,cc_cst_no018997
cst_id065967,
cst_id068447,
cst_id015844,cc_cst_no017895
cst_id051466,cc_cst_no026556
cst_id006745,cc_cst_no014846
cst_id050904,
cst_id012152,
cst_id004744,cc_cst_no015915
cst_id000125,
cst_id071737,
cst_id025392,
cst_id009432,
cst_id013770,
cst_id067514,
cst_id025061,
cst_id068129,
cst_id054752,cc_cst_no044088
cst_id015803,cc_cst_no000773
cst_id058787,cc_cst_no042782
cst_id022368,cc_cst_no002418
cst_id000306,cc_cst_no025205
cst_id044235,
cst_id070293,
cst_id004013,cc_cst_no000802
cst_id020509,
cst_id022527,cc_cst_no003128
cst_id078529,
cst_id023161,cc_cst_no005805
cst_id067362,cc_cst_no056679
cst_id077078,
cst_id063267,cc_cst_no036559
cst_id002400,
cst_id018220,cc_cst_no038625
cst_id055225,
cst_id011288,
cst_id067555,
cst_id060154,
cst_id003401,cc_cst_no011394
cst_id060756,
cst_id031667,
cst_id057964,
cst_id005735,cc_cst_no004219
cst_id038774,
cst_id078760,
cst_id012113,cc_cst_no023018
cst_id075566,
cst_id010400,cc_cst_no058188
cst_id010400,cc_cst_no026980
cst_id009671,cc_cst_no010681
cst_id012903,cc_cst_no009017
cst_id054811,
cst_id003881,
cst_id062348,cc_cst_no046121
cst_id018754,
cst_id029727,cc_cst_no017481
cst_id034265,
cst_id070602,
cst_id046360,
cst_id072144,
cst_id004047,cc_cst_no000373
cst_id034552,
cst_id031774,
cst_id017475,
cst_id064404,
cst_id035963,
cst_id022150,cc_cst_no000821
cst_id017774,cc_cst_no031201
cst_id050537,
cst_id063687,
cst_id000324,cc_cst_no009005
cst_id052696,cc_cst_no072855
cst_id052696,cc_cst_no056305
cst_id048478,
cst_id014471,cc_cst_no053845
cst_id025124,cc_cst_no023843
cst_id025124,cc_cst_no059473
cst_id010228,cc_cst_no051782
cst_id017211,
cst_id069289,
cst_id016545,cc_cst_no008260
cst_id011668,
cst_id027337,cc_cst_no038098
cst_id003808,
cst_id024423,cc_cst_no007671
cst_id007655,cc_cst_no001980
